instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x0, IP = 0x0, SP = 0x80000000, LR = 0x0, PC = 0x865c, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
instruction : b / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x852c, CPSR = 0x400001d3 / modified register : ['pc'] / memory data : \x13\x0\x0\xea
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8580, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x8\x30\x1b\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8584, CPSR = 0x400001d3 / modified register : ['cpsr'] / memory data : \x1d\x0\x53\xe3
instruction : ble / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8588, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \xe8\xff\xff\xda
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8530, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x8\x30\x1b\xe5
instruction : lsl / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8534, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x3\x31\xa0\xe1
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8538, CPSR = 0x800001d3 / modified register : ['r2'] / memory data : \x10\x20\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x853c, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x3\x30\x82\xe0
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffe4, IP = 0x0, SP = 0x7fffffd0, LR = 0x8670, PC = 0x8540, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
ERROR: Invalid memory read (UC_ERR_READ_UNMAPPED)
