instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x80000000, LR = 0x8018, PC = 0x85a8, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
instruction : bne / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x8018, PC = 0x85d4, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x8018, PC = 0x85d8, CPSR = 0x600001d3 / modified register : ['r1'] / memory data : \x90\x10\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x8018, PC = 0x85dc, CPSR = 0x600001d3 / modified register : ['r0'] / memory data : \xc\x0\x1b\xe5
instruction : bl / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x8018, PC = 0x85e0, CPSR = 0x600001d3 / modified register : ['lr', 'pc'] / memory data : \xd\xff\xff\xeb
instruction : str / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x821c, CPSR = 0x600001d3 / modified register : ['sp'] / memory data : \x4\xb0\x2d\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffffec, LR = 0x85e4, PC = 0x8220, CPSR = 0x600001d3 / modified register : ['fp'] / memory data : \x0\xb0\x8d\xe2
instruction : sub / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffec, LR = 0x85e4, PC = 0x8224, CPSR = 0x600001d3 / modified register : ['sp'] / memory data : \xc\xd0\x4d\xe2
instruction : str / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8228, CPSR = 0x600001d3 / modified register : [] / memory data : \x8\x0\xb\xe5
instruction : str / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x822c, CPSR = 0x600001d3 / modified register : [] / memory data : \xc\x10\xb\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8230, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \xc\x30\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x24dc0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8234, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x4\x30\x83\xe2
instruction : ldr / register data :R0 = 0x0, R1 = 0x24dc0, R2 = 0x0, R3 = 0x24dc4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8238, CPSR = 0x600001d3 / modified register : ['r1'] / memory data : \x0\x10\x93\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x0, R3 = 0x24dc4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x823c, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \xc\x30\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x0, R3 = 0x24dc0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8240, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x8\x30\x83\xe2
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x0, R3 = 0x24dc8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8244, CPSR = 0x600001d3 / modified register : ['r2'] / memory data : \x0\x20\x93\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x24dc8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8248, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x8\x30\x1b\xe5
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x824c, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x4\x30\x83\xe2
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8250, CPSR = 0x600001d3 / modified register : ['r2'] / memory data : \x2\x20\x81\xe0
instruction : str / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8254, CPSR = 0x600001d3 / modified register : [] / memory data : \x0\x20\x83\xe5
instruction : mov / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x8258, CPSR = 0x600001d3 / modified register : ['r0'] / memory data : \x0\x0\xa0\xe1
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe0, LR = 0x85e4, PC = 0x825c, CPSR = 0x600001d3 / modified register : ['sp'] / memory data : \x0\xd0\x8b\xe2
instruction : pop / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffec, LR = 0x85e4, PC = 0x8260, CPSR = 0x600001d3 / modified register : ['sp', 'fp'] / memory data : \x4\xb0\x9d\xe4
instruction : bx / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8264, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x1e\xff\x2f\xe1
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85e4, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x80\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85e8, CPSR = 0x600001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85ec, CPSR = 0x600001d3 / modified register : ['cpsr'] / memory data : \x2\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x85f0, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8600, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x64\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8604, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8608, CPSR = 0x800001d3 / modified register : ['cpsr'] / memory data : \x3\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x860c, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x861c, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x48\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8620, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8624, CPSR = 0x800001d3 / modified register : ['cpsr'] / memory data : \x4\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8628, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8638, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x2c\x30\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x24dbc, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x863c, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \x0\x30\x93\xe5
instruction : cmp / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8640, CPSR = 0x800001d3 / modified register : ['cpsr'] / memory data : \x5\x0\x53\xe3
instruction : bne / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8644, CPSR = 0x800001d3 / modified register : ['pc'] / memory data : \x2\x0\x0\x1a
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8654, CPSR = 0x800001d3 / modified register : ['r0'] / memory data : \xc\x0\x1b\xe5
instruction : bl / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8658, CPSR = 0x800001d3 / modified register : ['lr', 'pc'] / memory data : \xad\xff\xff\xeb
instruction : push / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x865c, PC = 0x8514, CPSR = 0x800001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffffe8, LR = 0x865c, PC = 0x8518, CPSR = 0x800001d3 / modified register : ['fp'] / memory data : \x4\xb0\x8d\xe2
instruction : sub / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe8, LR = 0x865c, PC = 0x851c, CPSR = 0x800001d3 / modified register : ['sp'] / memory data : \x18\xd0\x4d\xe2
instruction : str / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x8520, CPSR = 0x800001d3 / modified register : [] / memory data : \x18\x0\xb\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x8524, CPSR = 0x800001d3 / modified register : ['r1'] / memory data : \x70\x10\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x14958, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x8528, CPSR = 0x800001d3 / modified register : ['r0'] / memory data : \x70\x0\x9f\xe5
instruction : bl / register data :R0 = 0x1495c, R1 = 0x14958, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x852c, CPSR = 0x800001d3 / modified register : ['lr', 'pc'] / memory data : \xc7\x2\x0\xeb
